GeneName	EarlyExp	EstExp	LateExp	minEarly_gb	maxEarly_gb	meanEarly_gb	minEst_gb	maxEst_gb	meanEst_gb	minLate_gb	maxLate_gb	meanLate_gb	minEarly_prom	maxEarly_prom	meanEarly_prom	minEst_prom	maxEst_prom	meanEst_prom	minLate_prom	maxLate_prom	meanLate_prom	Strand	NoClExp	Cluster(exp)	Color	EarlyP-val	EstP-val	LateP-val
Gm12250	2.436	2.9083	2.7479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	16	AllVUp	DarkPurple	0.0007	0.00005	0.00005
Syt13	1.7394	0.116	2.7726	0.4	0.571429	0.4857145	0.417969	0.5	0.4589845	0	0.538043	0.2690215	0.4	0.513889	0.4569445	0.416667	0.5	0.4583335	0	0.672414	0.336207	+	15	AllMildUp	SeaBlue	0.0002	0.7497	0.00005
Hmha1	0.3795	1.0656	1.5051	0	0	0	0	0	0	0	0	0	0.514041	0.514041	0.514041	0.412364	0.412364	0.412364	0.532418	0.532418	0.532418	+	10	EarlyNEstNLateUp	Petrol	0.4233	0.0007	0.00045
Myo1f	0.2427	0.786	1.762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	10	EarlyNEstNLateUp	Petrol	0.5753	0.0029	0.00075
Il1rl1	0.9657	0.9141	1.7568	0.486513	0.509227	0.495777	0.426404	0.472192	0.4551203333	0.471354	0.523299	0.495223	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Mcpt1	-0.033	1.7145	-1.4491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	13	EarlyNEstUpLateLow	Blue	0.9494	0.00085	0.05005
Ptpn22	1.1832	0.7081	1.6221	0.544811	0.544811	0.544811	0.249027	0.249027	0.249027	0.467866	0.467866	0.467866	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.0053	0.03895	0.00005
Cmpk2	1.4906	2.0306	1.1096	0.542373	0.6	0.5711865	0.333333	0.34058	0.3369565	0.533333	0.74	0.6366665	0.4	0.6	0.5	0.333333	0.451613	0.392473	0.456522	0.533333	0.4949275	+	12	EarlyNEstUpLateN	LightBlue	0.0043	0.0005	0.00815
Micall2	1.0116	1.0036	1.5761	0.0909091	0.584906	0.33790755	0.607843	0.714286	0.6610645	0.347826	0.625	0.486413	0.0909091	0.556474	0.32369155	0.402116	0.714286	0.558201	0.546218	0.625	0.585609	-	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Il7r	2.1144	2.8282	1.6075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	16	AllVUp	DarkPurple	1	0.00005	1
Gprc5a	0.4863	1.9935	0.6888	0.307692	0.432692	0.370192	0.495413	0.5	0.4977065	0.1	0.634409	0.3672045	0.307692	0.503055	0.4053735	0.470446	0.5	0.485223	0.1	0.489	0.2945	+	12	EarlyNEstUpLateN	LightBlue	0.09065	0.00005	0.0093
